UniprotAccession,BRAIN,BROWN_ADIPOSE_TISSUE,CEREBELLUM,CEREBRAL_CORTEX,HEART,KIDNEY,LIVER,LUNG,MUSCLE,PANCREAS,SPLEEN,WHOLE_ORGANISM
Q9D164,22.5,,200.0,,2.04,,,,,,,76.0
Q9D168,0.805,,21.1,,0.511,,15.5,3.31,,0.105,,6.28
Q9D172,474.0,1593.0,691.0,456.0,1650.0,,804.0,275.0,142.0,298.0,144.0,398.0
Q9D173,14.6,,256.0,,34.3,,20.4,,0.462,0.149,,10.5
Q9D174,,,,,,,,,,,,0.013
Q9D176,,,,,,,,,,,,0.042
Q9D180,,,,,,0.058,,3.85,,,,0.007
Q9D187,20.6,5.07,71.8,,0.489,6.45,12.0,11.6,0.144,0.308,2.19,65.4
Q9D195,,,,,,,,,,,,0.039
Q9D198,,0.141,36.7,,0.305,,0.109,4.87,0.113,0.098,2.13,2.96
Q9D1A0,,,,,,,,,0.206,,,0.007
Q9D1A2,129.0,143.0,331.0,195.0,119.0,1009.0,247.0,657.0,71.3,311.0,1164.0,139.0
Q9D1A4,,,,,,,,,0.885,,,
Q9D1B1,,,,,,4.1,,,,,,14.1
Q9D1B8,,,,,,,,,,,,0.076
Q9D1B9,29.4,29.2,79.0,3.8,69.1,22.7,4.89,2.13,1.53,0.45,26.3,32.6
Q9D1C1,4.72,,14.8,,,,0.524,,,,229.0,11.5
Q9D1C2,0.074,,21.4,,,,,2.24,,,,0.429
Q9D1C3,1.96,,27.0,,2.95,2.25,,,0.603,,1.17,4.19
Q9D1C9,34.1,0.078,14.4,0.098,,39.6,11.1,5.02,0.033,0.148,,78.9
Q9D1D1,,,,,,,,,,,,0.003
Q9D1D4,207.0,148.0,374.0,16.3,99.7,174.0,473.0,353.0,48.1,1605.0,253.0,274.0
Q9D1D6,,,14.2,,,,,,,,,1.03
Q9D1E4,,,,,,,,,,,,0.052
Q9D1E5,,,,,,,,,,,,0.011
Q9D1E6,283.0,13.9,160.0,18.8,36.0,19.9,17.9,60.0,2.97,49.7,33.9,80.4
Q9D1E8,1.03,,57.6,,2.66,,,2.98,1.15,0.273,,2.37
Q9D1F0,0.798,,35.6,,,,,,0.004,,,1.66
Q9D1F4,1.85,1.91,57.4,8.05,2.56,1.27,1.93,1.74,2.92,8.86,2.44,27.4
Q9D1F5,,,2.72,,,,,,,,,0.536
Q9D1F9,0.015,,17.9,,,5.93,37.8,,18.1,,,1.08
Q9D1G0,,,,,,,,,,,,0.165
Q9D1G1,389.0,202.0,319.0,192.0,203.0,59.4,220.0,310.0,37.6,504.0,265.0,257.0
Q9D1G2,26.2,9.19,55.4,,,11.1,91.9,9.83,0.01,16.3,85.4,20.0
Q9D1G3,0.018,,24.8,,112.0,,,,204.0,,,0.311
Q9D1G5,9.14,14.0,94.8,35.2,28.3,,1.03,44.6,4.9,0.643,3.79,7.9
Q9D1H0,,,,,,,,,,,,0.01
Q9D1H6,46.7,114.0,61.5,5.35,141.0,,38.3,7.43,5.74,109.0,98.6,34.0
Q9D1H7,6.58,2.83,64.0,1.75,24.9,2.78,4.55,11.8,0.759,1.77,32.8,7.14
Q9D1H8,30.7,33.5,81.9,2.35,92.9,25.8,21.6,0.252,1.49,2.86,1.54,39.8
Q9D1H9,,9.3,10.8,0.938,60.1,0.758,0.584,1605.0,1.46,0.613,36.4,17.6
Q9D1I2,,26.3,11.4,,0.237,4.63,,0.847,1.02,,1.0,5.58
Q9D1I5,34.6,161.0,127.0,52.0,337.0,,49.9,29.2,19.5,54.2,3.49,39.1
Q9D1I6,19.6,1.92,55.6,,81.4,6.77,6.94,,7.3,19.0,,19.5
Q9D1J1,13.1,3.07,70.5,0.672,2.57,17.7,0.213,58.2,,17.9,112.0,30.0
Q9D1J3,95.4,1.42,256.0,,8.81,29.7,11.1,45.2,10.2,49.4,123.0,49.2
Q9D1K2,749.0,3.48,347.0,773.0,37.9,1524.0,9.75,17.3,5.78,11.8,11.2,158.0
Q9D1K4,,,,,,,,,,,,0.04
Q9D1L0,114.0,56.6,206.0,2.8,139.0,21.3,50.2,20.0,22.6,49.5,31.1,241.0
Q9D1L9,13.3,1.94,288.0,3.75,56.9,7.63,4.01,15.6,1.04,1.68,3.76,92.2
Q9D1M0,53.9,15.7,135.0,18.2,53.4,108.0,171.0,78.6,5.43,268.0,104.0,90.6
Q9D1M4,33.9,35.6,117.0,39.0,28.2,43.5,76.9,75.5,2.1,95.8,165.0,41.7
Q9D1M7,31.1,0.666,10.8,,0.128,2.5,84.2,1.26,0.06,2363.0,13.9,32.9
Q9D1N2,,6.64,,,10.5,,0.013,50.6,0.336,,,0.307
Q9D1N4,,,,,,,,,,,,0.072
Q9D1N9,17.3,40.9,102.0,3.84,94.0,15.4,38.7,1.64,8.76,0.341,45.3,33.6
Q9D1P0,48.7,244.0,29.8,1.16,178.0,188.0,127.0,0.08,5.68,0.127,214.0,45.4
Q9D1P2,0.033,,10.8,,,,,1.83,1.1,,,8.81
Q9D1P4,201.0,19.9,183.0,527.0,93.1,336.0,115.0,81.2,49.1,94.5,172.0,139.0
Q9D1Q1,0.066,,30.0,,0.202,,0.035,0.624,0.069,0.042,0.601,23.7
Q9D1Q4,27.9,,179.0,,1.25,4.11,3.49,1.27,0.261,15.8,5.6,18.4
Q9D1Q5,,,,,,,,,,,,0.839
Q9D1Q6,99.9,25.4,150.0,44.2,68.8,237.0,314.0,146.0,33.8,971.0,304.0,169.0
Q9D1R1,1.53,32.5,31.5,0.105,21.3,,2.69,,1.03,0.085,1.07,1.97
Q9D1R2,4.94,,15.2,,4.24,,0.329,0.544,1.06,1.77,5.28,12.4
Q9D1R9,205.0,33.4,249.0,9.07,226.0,55.8,196.0,69.1,23.4,278.0,149.0,216.0
Q9D1T0,10.4,,105.0,,,,,,,,,3.25
Q9D1T5,,,3.63,,,,,,,,,0.006
Q9D1U0,,,,,0.365,,,0.191,,,,0.154
Q9D1U5,,,,,,,,,,,,0.124
Q9D1X0,28.9,1.58,62.2,,112.0,9.56,,75.3,29.5,12.3,1.23,8.99
Q9D1X9,0.603,1.71,7.0,,0.905,1.08,0.662,2.26,,,,0.225
Q9D1Y9,,,6.72,,,,,,,,,
Q9D1Z2,,,,,,,,,,,,0.084
Q9D1Z3,,,4.76,,0.322,0.495,,,,,,0.275
Q9D211,1.4,,33.7,,,,,,0.008,,,104.0
Q9D219,0.006,,6.01,,0.041,,,,,,,0.709
Q9D226,,,,,,,,,,,,0.004
Q9D232,,,,,,,,,,,,0.018
Q9D236,,,,,0.151,,,,,,,0.061
Q9D240,,,9.71,,,,,,,,,0.0003
Q9D244,,,,,,,,,,,,0.044
Q9D245,,,,,,,,,,,,0.048
Q9D258,,,5.61,,,,,,,,,0.048
Q9D260,,,,,,,,,,,,4e-05
Q9D264,,,,,,,,,,,,0.02
Q9D269,,,,,,,,,,,,0.024
Q9D270,,,11.1,,,1.08,,,,,2.72,0.241
Q9D273,12.7,12.8,45.6,14.7,73.4,5.71,37.2,7.96,8.2,,,19.3
Q9D279,,0.233,0.195,1.37,0.54,,0.018,0.384,0.381,0.179,0.517,2.18
Q9D281,0.016,0.171,8.43,0.985,2.41,,32.9,40.7,0.572,36.5,7.91,2.95
Q9D287,63.5,1.05,165.0,33.6,1.18,10.2,1.32,18.1,0.178,1.84,15.5,90.0
Q9D289,12.7,4.9,50.0,14.4,7.73,13.0,1.08,22.1,0.61,3.18,9.85,2.07
Q9D291,0.435,3.83,2.42,,0.409,0.72,,1.36,0.045,,1.79,3.45
Q9D2A5,,,,,,,,,,,,0.002
Q9D2C2,3.98,0.275,36.7,,0.448,,0.078,1.04,0.106,,6.9,27.8
Q9D2C6,0.141,,17.8,,,,,,,,11.7,8.46
Q9D2C7,0.146,0.681,25.0,0.162,2.93,3.07,45.0,2.99,0.939,20.2,2.24,5.04
Q9D2C9,,,2.89,,,,,,,,,0.024
Q9D2D7,0.015,,23.4,,0.064,,,,0.018,,,1.65
Q9D2D9,0.064,,8.1,,,,,,,,,0.009
Q9D2E1,0.189,0.251,0.094,0.192,0.233,,0.123,2.81,,,1.66,0.146
Q9D2E2,2.39,0.356,32.4,,0.016,,0.036,4.07,0.144,0.105,14.0,20.0
Q9D2E9,,,,,,,,,,,,0.066
Q9D2F0,,,,,,,,,,,,0.021
Q9D2F1,0.012,,,,,,,,,,,0.003
Q9D2F5,,,,,,,,,,,,0.056
Q9D2F7,0.007,,,,,,,,,,,0.011
Q9D2F8,,,,,,,,,,,,0.052
Q9D2G2,464.0,1182.0,470.0,438.0,1261.0,206.0,343.0,141.0,496.0,74.9,150.0,275.0
Q9D2G5,0.06,,6.0,,0.178,,,,0.014,0.198,,0.257
Q9D2G9,0.004,,,,,,,,,,,2e-05
Q9D2H1,,,,,,,,,,,,0.007
Q9D2H2,,,,,,,,3.81,,,,0.016
Q9D2H4,,,,,,,,,,,,0.003
Q9D2H5,,,,,,,,,,,,0.001
Q9D2H6,,,12.8,,,,,0.385,,,,9.64
Q9D2H8,,,,,,,,,,,,0.183
Q9D2H9,,,,,,,,,,,,0.053
Q9D2I5,0.048,,6.78,,,0.075,,,,,1.44,0.069
Q9D2J4,,,,,0.02,,,,,,,0.182
Q9D2J7,,,,,,,,,,,,0.032
Q9D2K4,,,,,0.05,,,,,,,0.018
Q9D2L1,,,4.99,,,,,,,,,0.015
Q9D2L5,,,,,0.132,,,,,,,0.046
Q9D2L6,,,,,0.345,,,,0.069,1.23,7.12,0.027
Q9D2L9,10.9,,,,,,,,,,,10.3
Q9D2M8,113.0,20.1,111.0,472.0,52.4,70.6,81.7,168.0,15.7,69.3,85.9,56.2
Q9D2N4,17.2,,84.5,0.316,43.1,,,7.23,120.0,,,4.01
Q9D2N8,,,2.85,,,,,,,,,0.056
Q9D2N9,3.2,0.773,48.5,38.1,6.09,,0.293,6.53,3.28,0.394,17.6,2.23
Q9D2P4,0.914,0.27,46.4,7.51,0.351,,0.074,8.14,0.147,,2.74,1.49
Q9D2P8,57.5,,170.0,,,,,,,,,5.3
Q9D2Q2,,,2.86,,,,,,0.228,,,0.068
Q9D2Q3,0.026,,8.98,,,,,,,,,0.114
Q9D2Q8,,,,,,1.07,,6.44,,,,1.93
Q9D2R0,21.4,1035.0,103.0,1.27,0.941,39.6,138.0,27.0,3.24,4.78,58.9,10.4
Q9D2R4,,0.041,0.115,0.311,0.128,,0.005,,,235.0,0.718,0.172
Q9D2R6,31.1,11.6,124.0,8.87,128.0,32.0,20.7,2.39,18.0,10.4,2.6,28.3
Q9D2R8,0.518,3.11,31.9,,9.93,,0.841,,1.32,0.46,,9.95
Q9D2R9,,,,,,,,,,,,18.1
Q9D2T6,,,,,,,,,,,,0.0008
Q9D2U0,,,,,,,,,,,,4.92
Q9D2U9,483.0,2.13,13.8,,128.0,6.85,222.0,2.6,0.413,3.97,19.7,1269.0
Q9D2V5,0.998,,15.6,,,,,,0.192,,0.564,20.5
Q9D2V7,55.9,89.1,103.0,4.29,20.0,103.0,90.4,180.0,4.48,37.3,506.0,13.8
Q9D2V8,2.69,,12.0,,,,,1.33,0.494,0.383,0.501,2.43
Q9D2W0,,,,,,,,,,,,0.01
Q9D2X0,0.06,,10.9,,,,,,0.068,,,0.157
Q9D2X5,0.011,,11.2,,,,,,0.034,,3.49,0.95
Q9D2X8,0.295,,,,,,,,,,,0.215
Q9D2Y4,1.24,0.166,,,0.254,,0.193,0.407,0.118,0.534,11.5,1.11
Q9D2Y5,,,,,0.16,,,,,,,0.15
Q9D2Y6,,,3.57,,,,,,,,,0.023
Q9D2Y9,,,17.0,,,,,,,,,0.036
Q9D2Z1,,,,,,,,,,,,0.017
Q9D2Z4,0.047,,8.04,0.668,0.445,,,0.338,1.39,0.322,,1.83
Q9D2Z6,,,,,,,,,,,,0.106
Q9D2Z8,0.017,,,,0.123,,,,,,,0.004
Q9D300,,,3.21,,,,,,,,,0.016
Q9D304,,,8.3,,,,,,,,,0.069
Q9D305,,,,,,,,,,,,0.034
Q9D306,,,,,,,,0.287,,,6.4,0.005
Q9D309,,,,0.067,,,,,,0.047,,0.336
Q9D311,,,,,,,,,,,,0.026
Q9D312,1.66,5.28,,,0.978,1.15,4.42,1.48,,71.8,0.379,12.8
Q9D321,,,,,,,,14.1,,,,0.007
Q9D338,28.7,19.6,82.2,0.741,62.0,25.1,52.8,,1.96,0.675,19.6,15.9
Q9D342,,,,,,,,,,,,0.018
Q9D350,,,,,,,,,,,,0.015
Q9D358,254.0,84.3,177.0,19.0,99.8,142.0,164.0,202.0,6.3,153.0,283.0,125.0
Q9D361,0.042,,3.73,,,,,,,,,0.026
Q9D379,30.2,6.51,50.5,5.26,35.2,63.8,1287.0,467.0,17.9,21.8,329.0,150.0
Q9D384,,,,,,,,1.58,,,,0.561
Q9D385,4.45,,42.9,,0.203,1.32,,15.9,0.084,,7.66,0.659
Q9D387,5.35,,169.0,1.29,,,,,,,,1.65
Q9D394,71.1,0.985,151.0,644.0,5.07,0.828,1.7,1.85,2.63,0.397,5.68,11.3
Q9D3A8,0.24,,34.7,0.475,0.183,,,,,,,0.348
Q9D3A9,22.9,,370.0,,,,,,,,,14.4
Q9D3B1,0.506,1.3,61.4,,,1.8,210.0,4.12,0.184,0.223,,7.12
Q9D3D0,3.63,,13.5,,,,,,0.026,,29.8,0.49
Q9D3D9,913.0,76.4,1002.0,109.0,1374.0,49.9,181.0,75.6,687.0,43.4,32.4,936.0
Q9D3E6,1.31,0.055,41.0,5.52,1.43,,,6.13,1.77,0.124,2.42,7.73
Q9D3F6,,,,,,,,,,,,0.035
Q9D3F7,,,,,,,,,,,,0.16
Q9D3G5,,,,,,,,21.3,0.037,,2.96,0.253
Q9D3G9,,,,,,,,,,,4.52,0.007
Q9D3H2,,,,0.394,0.033,6.28,,,6.33,0.046,,3.84
Q9D3H4,,,,,,,,,,,,0.149
Q9D3H7,,,,,,,,,,,,0.038
Q9D3H9,,,,,,,,,,,,0.002
Q9D3I0,,,,,,,,,,,,0.005
Q9D3I6,,,13.8,,1.25,,,,4.23,,,0.033
Q9D3I8,,,,,,,,,,,,0.035
Q9D3J3,,,,,,,,,,,,0.011
Q9D3J5,,,,,,,,,,,,0.056
Q9D3L0,,,91.5,,,,,,0.072,,,1.21
Q9D3N5,,,,,,,,,,,,2.4
Q9D3N8,,,14.5,,,,,3.49,,,,1.12
Q9D3P1,,,,,,,,,,,,0.254
Q9D3P8,37.1,0.239,253.0,,5.83,6.79,,22.6,0.391,,1.75,28.8
Q9D3P9,0.368,,9.5,,,,,,,,,
Q9D3R3,,,,,,,,,,,,0.482
Q9D3R5,,,,,,,,,,,,0.029
Q9D3R6,5.2,,,,,,,,1.76,1.3,2.66,6.63
Q9D3R9,0.123,,,,,,,,,,,0.012
Q9D3S3,,,14.1,,0.164,,,,,,,0.29
Q9D3S5,0.016,,,,,,,,,,,0.012
Q9D3S9,,,,,,,,,,,,0.018
Q9D3T1,0.073,,,,,,,,,,,
Q9D3U0,0.593,1.14,8.05,0.146,0.145,,0.123,2.48,0.121,0.23,21.2,20.5
Q9D3U4,9.11,0.259,,,0.052,0.34,0.63,0.912,,0.938,3.08,9.15
Q9D3U9,0.073,,,,,,,,,,,1e-05
Q9D3V1,,,,,,,,,,,,0.0008
Q9D3V5,0.041,,,,,,,,,,,0.023
Q9D3V8,0.024,,,,,,,,,,,0.019
Q9D3W1,,,,,,,,1.42,,,,0.015
Q9D3W4,2.1,,15.6,,,,,,0.056,,,29.4
Q9D3W5,0.02,,,,,,,,,,,0.027
Q9D3X4,,,,,,,,,,,,0.084
Q9D3X5,,,,,,,,,,,,0.078
Q9D3X9,0.107,,5.83,,,,,,0.006,,,0.192
Q9D3Y2,,,,,,,,,,,,0.001
Q9D3Z8,,,,,,,,,,,,0.021
Q9D404,2.9,60.4,41.1,2.22,82.7,39.6,22.1,17.5,5.64,6.58,16.3,10.5
Q9D410,,,,,,,,,,,,0.124
Q9D411,,,,,,,,,,,,0.004
Q9D413,,,,,,,,,,,,0.021
Q9D415,2.22,,36.8,11.5,,,,,,,,17.2
Q9D416,,,,,,,,,,,,0.0002
Q9D423,3.12,0.805,,,,,2.42,1.87,,23.8,7.77,2.68
Q9D424,,,,,,,,,,,,0.12
Q9D428,0.541,,59.3,,,,,,,,,0.525
Q9D439,0.036,,,,,,,1.05,,,,0.012
Q9D451,,,,,,,,,,,,0.04
Q9D454,0.237,,,,0.132,,,,,,,0.049
Q9D478,,,,,,,,1.7,,,,0.02
Q9D479,,,1.64,,,,,,0.271,,,0.093
Q9D483,1.07,,7.38,,,0.117,,,0.004,,,1.58
Q9D485,0.007,,,,,,,2.55,,,,0.018
Q9D486,0.146,,35.6,,,,,0.134,,,0.573,0.427
Q9D489,,,,,,,,,,,,0.013
Q9D494,,,,,,,,,,,,0.001
Q9D495,,,,,,,,,,,,4.46
Q9D496,0.006,,,,,,,,,,,0.035
Q9D498,,,,,,,,,,,,0.059
Q9D4A5,,,,,,,,,,,,0.05
Q9D4B1,,,,,,,,,,,,0.0003
Q9D4C1,,,,,,,,,,,,0.0004
Q9D4C5,,,9.0,,,,,,,,,0.65
Q9D4C6,,,,,,,,,,,,0.05
Q9D4C9,11.9,,102.0,,,,,,,,,0.573
Q9D4D3,0.081,,,,,,,,,,,2e-05
Q9D4D4,3.45,,,,0.091,,,,,0.798,,2.38
Q9D4D5,,,,,,,,,,,,0.018
Q9D4E6,52.4,13.8,0.233,,0.525,,77.7,18.1,,44.1,35.9,35.0
Q9D4E9,,,,,,,,,,,,0.003
Q9D4F2,3.4,,20.2,,,0.752,,2.41,,,,1.65
Q9D4F3,,,,,,,,,,,,0.0007
Q9D4F8,0.361,,24.8,,,,,,0.058,,0.98,0.615
Q9D4G2,1.57,,,,,,,,,,,0.07
Q9D4G9,0.509,,,,,,,,,,,2.83
Q9D4H1,6.44,8.29,68.0,3.16,4.42,13.3,1.21,46.0,1.7,6.31,27.1,3.98
Q9D4H2,0.032,0.708,12.7,2.08,0.173,,4.13,1.3,0.028,14.4,15.6,5.18
Q9D4H4,0.056,,5.31,,0.155,,,1.63,0.016,,,0.331
Q9D4H7,,,,,,,,,,,,0.011
Q9D4H8,56.6,18.2,133.0,15.8,21.2,,62.6,35.8,16.2,0.496,119.0,21.7
Q9D4H9,10.0,,16.3,,,,4.44,1.1,0.82,,,5.29
Q9D4I2,0.009,,,,,,,,,,,0.011
Q9D4I8,0.009,,,,,,,,,,,0.004
Q9D4J1,122.0,5.92,6.97,2.13,2.04,2.77,15.2,9.05,,4.15,22.7,8.35
Q9D4J3,,,,,,,,4.78,,,,0.01
Q9D4J7,2.65,,21.8,,,,,1.44,0.025,,2.52,40.3
Q9D4J9,,,,,,,,,,,,0.0003
Q9D4K4,,,,,,,,,,,,0.038
Q9D4M9,0.026,,,,,,,,,,,
Q9D4P0,,,,,,0.336,0.282,,,0.372,0.805,0.068
Q9D4P7,0.011,,,,,,,,,,,0.015
Q9D4Q1,,,,,,,,,,,,0.002
Q9D4R2,,,,,,,0.162,,,,,0.002
Q9D4U4,,,,,,,,,,,,0.001
Q9D4V0,0.253,0.122,45.7,,,1.26,,,0.003,0.025,2.95,17.3
Q9D4V3,,,,,,,,,1.62,,,
Q9D4V4,,,,,,,,,,,,5.09
Q9D4V7,,,36.3,0.492,0.324,0.277,9.76,1.03,0.005,0.175,0.567,0.831
Q9D4X6,,,,,,,,,,,,0.044
Q9D4Y3,,,9.23,,,,,,,,,0.275
Q9D4Y8,,,,,,,,,,,,0.032
Q9D4Z5,,,,,,,,,,,,0.0007
Q9D513,,,,,,,,,,,,0.003
Q9D515,,,,,,,,,,,,0.04
Q9D517,4.82,316.0,118.0,0.312,116.0,41.9,80.9,18.9,27.2,1.47,5.59,10.3
Q9D518,0.025,,,,0.114,,,,,,,0.063
Q9D519,,,,,,,,,,,,0.039
Q9D529,,,,,,,,,,,,0.076
Q9D531,,,,,,,,,,,,0.038
Q9D534,,,,,,,,0.257,,,,0.009
Q9D542,,,,,,,,,,,,0.015
Q9D548,2.59,,,,,,2.35,,6.55,,1.25,2.51
Q9D552,,,,,,,,,,,,6e-05
Q9D554,152.0,5.09,154.0,35.4,19.6,633.0,92.3,39.5,19.1,3.76,94.6,97.1
Q9D563,,,,,,,,,,,,0.06
Q9D565,,,,,,,,,,,,0.012
Q9D572,0.021,,,,,,,,,,,0.026
Q9D581,,,,,0.57,,,,,,,0.013
Q9D583,,,,,,,,,,,,0.053
Q9D593,306.0,14.4,175.0,1282.0,7.0,336.0,7.4,54.5,5.35,13.7,37.5,30.8
Q9D5A0,0.051,,,,,,,,,,,1.23
Q9D5D8,,,11.4,,,,,,,,,0.413
Q9D5E3,,,,,,,,,,,,0.003
Q9D5E4,0.013,,,,0.039,,,,,,,0.19
Q9D5F6,,,,,,,,,,,,3e-05
Q9D5H4,,,,,,,,,,,,0.017
Q9D5J5,,,,,,,,,,,,6e-06
Q9D5J6,0.1,3.26,15.1,0.31,,0.754,84.6,0.634,0.07,2.39,0.037,0.689
Q9D5K1,,,,,,,,,,,,0.026
Q9D5K4,,,3.71,,,,,,,,,4.83
Q9D5N8,,,,,,,,,,,,0.004
Q9D5N9,,,,,,,,,,,,0.012
Q9D5P4,,,,,,,,,,,,2e-05
Q9D5Q6,,,,,,,,,,,,0.019
Q9D5Q8,0.007,,,,,,,,,,,0.055
Q9D5R2,0.084,,,,0.11,,,,,,,0.474
Q9D5R3,,,3.57,,,,,2.11,,,,0.013
Q9D5S7,0.014,,,,,,,,,,,0.016
Q9D5T0,58.9,37.6,159.0,1.28,200.0,39.6,104.0,31.6,39.6,0.825,23.6,39.3
Q9D5T7,,,,,,,,,,,,0.02
Q9D5U0,,,,,,,,,,,,0.0004
Q9D5U5,,,,,,,,,,,,0.025
Q9D5U8,,,,,0.128,,,,,,,0.003
Q9D5V1,,,,,,,,,,,,0.004
Q9D5V2,,,,,,,,,,,,0.01
Q9D5V5,31.0,13.4,101.0,13.6,49.2,21.6,10.4,118.0,210.0,8.05,126.0,7.4
Q9D5V6,14.6,20.0,60.2,79.5,7.17,,4.2,44.1,2.85,56.0,34.5,41.0
Q9D5W4,,,,,,,,,,,,0.002
Q9D5W6,,,,,,,,,,,,0.0009
Q9D5W8,,,,,,,,,,,,0.068
Q9D5Y1,,,,,0.104,,,1.48,,,,0.007
Q9D5Z5,0.035,,,,,,,,,,,0.011
Q9D5Z7,,,,,,,,,,,,0.048
Q9D600,2.1,,7.82,,,,,,,,3.85,34.7
Q9D611,,,,,,,,,,,,0.036
Q9D618,,,,,0.388,,,,,,,0.028
Q9D620,0.044,,9.11,0.724,0.009,,0.067,8.16,41.5,0.094,0.734,13.2
Q9D638,0.18,,,,1.78,,,,1.41,,,8.11
Q9D644,,,,,,,,,,,,0.288
Q9D646,0.077,,,,14.5,20.4,50.1,0.095,,,,8.32
Q9D650,,,10.0,,,,,,,,,0.025
Q9D654,,,7.97,,,,,,,,,0.359
Q9D656,,,,,,,,,,,,0.038
Q9D658,0.916,,11.8,,0.767,,,1.26,0.626,,10.6,0.141
Q9D659,,,5.99,,,,,,,,,2.54
Q9D662,27.4,23.2,61.5,10.8,7.21,95.1,129.0,128.0,2.73,564.0,255.0,39.9
Q9D665,0.014,,,,,,17.9,,,,,0.091
Q9D666,0.375,0.158,19.0,,13.9,,,12.1,5.04,0.089,,6.78
Q9D668,,,,,,,,,,,,0.124
Q9D676,,,,,,,,,,,,0.033
Q9D684,0.012,,,,,,,,,,,0.304
Q9D687,,,,,,39.6,,,,,,0.098
Q9D695,,,,,,,,,,,,0.059
Q9D6A1,0.019,,,,0.064,,,,,,,0.065
Q9D6C3,,,,,,,,,,,,0.318
Q9D6D0,0.614,,73.7,,,,,,,,,0.525
Q9D6D8,,,,,,,,,,,,0.106
Q9D6E1,0.233,,4.95,,,,,,,,,0.111
Q9D6E4,11.4,,84.2,,,,,0.285,,,0.401,0.317
Q9D6F4,0.04,0.028,0.093,,,,,,,,,0.251
Q9D6F9,2344.0,416.0,1331.0,3339.0,557.0,393.0,164.0,1089.0,31.1,413.0,918.0,498.0
Q9D6G3,,,,,,,,,,,,0.089
Q9D6G5,,,,,,,,,0.001,,,0.032
Q9D6G9,12.0,,145.0,,,,,,,,,4.84
Q9D6H2,3.33,,14.6,,,1.83,0.424,12.9,0.012,,2.74,1.49
Q9D6H5,,,7.64,,,,,,,,,0.022
Q9D6I0,,,15.8,8.67,,,,,,,,
Q9D6I3,,,,,,,,,,,,0.009
Q9D6I7,0.027,,15.7,,,,,,0.389,0.116,,0.021
Q9D6I9,0.085,,22.9,,,,,,,,,0.049
Q9D6J1,0.044,,5.52,,,,,,,,,0.382
Q9D6J3,0.768,,15.9,,,,,,,,,21.7
Q9D6J4,0.027,,12.3,,,,,,,,,
Q9D6J5,90.5,642.0,235.0,55.3,577.0,39.6,355.0,164.0,157.0,100.0,279.0,67.2
Q9D6J6,807.0,839.0,317.0,690.0,1384.0,39.6,315.0,78.7,207.0,205.0,100.0,164.0
Q9D6K5,14.7,8.72,6.4,0.425,62.7,11.6,39.5,11.6,0.532,41.6,3.9,24.4
Q9D6K7,15.5,0.198,26.5,0.91,,,0.605,2.57,0.025,,2.81,49.5
Q9D6K8,19.4,29.5,91.6,7.04,244.0,35.2,1.9,32.9,114.0,12.3,1.82,14.9
Q9D6K9,2.35,,,,,,,0.54,0.647,,0.74,3.64
Q9D6L6,,,,,,,,,,,,0.043
Q9D6L8,4.5,0.196,58.6,2.37,1.08,7.74,4.74,2.53,0.24,0.773,3.21,38.3
Q9D6M3,184.0,172.0,332.0,55.8,104.0,,302.0,11.2,7.48,102.0,10.8,80.6
Q9D6N1,1.25,1.04,9.76,,0.201,,,1.04,0.194,0.046,0.623,7.15
Q9D6N5,23.0,0.206,105.0,1.29,0.669,,0.019,19.3,0.332,2.51,15.4,65.6
Q9D6P5,,,,,,,,,,,,0.039
Q9D6P8,55.0,5.36,,,0.702,2.7,11.3,8.55,,7.37,2.84,39.9
Q9D6R2,1654.0,2239.0,916.0,911.0,1647.0,589.0,216.0,334.0,1102.0,235.0,364.0,679.0
Q9D6R3,,,,,,,,,,,,0.039
Q9D6S7,42.4,14.6,155.0,72.5,154.0,36.2,26.2,9.49,8.22,5.49,1.81,44.1
Q9D6T0,8.5,0.049,35.0,0.148,,0.71,0.602,3.1,0.354,1.76,27.0,23.8
Q9D6T1,,,,,,,,,,,,0.014
Q9D6T8,,,,,,,,,,,,0.002
Q9D6U8,223.0,355.0,200.0,9.65,535.0,119.0,265.0,169.0,23.9,137.0,26.8,208.0
Q9D6V8,10.1,,3.69,,,,2.86,6.33,,2.42,29.6,88.7
Q9D6W7,,,,,,,,,,,,4e-06
Q9D6W8,0.061,,19.5,,7.94,,,,0.11,0.56,,2.74
Q9D6X5,,,,,,,,,,,,1.08
Q9D6X6,,,,,,,,,1.59,,,6.8
Q9D6Y1,,,,,,,,,,,,0.021
Q9D6Y4,,,10.5,,,,,,,,,0.099
Q9D6Y7,38.7,150.0,102.0,31.9,279.0,1069.0,460.0,84.0,12.0,46.5,26.6,40.6
Q9D6Y9,14.1,741.0,44.1,0.339,82.3,94.6,360.0,149.0,45.6,4.63,44.4,11.3
Q9D6Z0,0.234,1.29,16.0,,24.6,0.697,1.19,,0.25,,,1.43
Q9D6Z1,473.0,0.193,67.2,,43.3,475.0,153.0,29.3,9.66,0.29,9.9,366.0
Q9D6Z6,,,,,,,,,,,,0.033
Q9D700,0.027,,5.38,,,,,,0.045,,,
Q9D701,,,,,,,,,,,,0.39
Q9D706,8.28,3.3,26.0,8.51,1.74,,0.392,10.7,17.4,3.67,41.6,19.1
Q9D708,3.48,0.67,148.0,7.06,0.566,,0.034,37.1,0.748,3.7,0.269,8.27
Q9D709,0.052,0.711,,,,,,,,,,0.018
