UniprotAccession,BRAIN,BROWN_ADIPOSE_TISSUE,CEREBELLUM,CEREBRAL_CORTEX,HEART,KIDNEY,LIVER,LUNG,MUSCLE,PANCREAS,SPLEEN,WHOLE_ORGANISM
A2ADY9,11.2,4.14,58.1,7.03,18.6,13.2,79.7,32.3,0.985,3.9,109.0,9.69
A2ADZ8,,,,,,,,,,,,0.0009
A2AE20,0.123,,,,,,,,,,,1.96
A2AE21,,,,,,,,,,,,0.0003
A2AE89,107.0,157.0,196.0,467.0,144.0,132.0,983.0,740.0,95.5,467.0,79.2,268.0
A2AEI7,0.025,,,,,,,,,,,0.031
A2AEN9,,,,,,,,,0.02,1.34,,0.296
A2AEP0,,,0.198,,,4.95,,7.76,,,,0.982
A2AEV7,,,6.75,,,,,,,,,0.088
A2AEY2,79.4,311.0,6.59,27.5,42.8,129.0,0.605,915.0,30.6,3.28,165.0,192.0
A2AEY4,,,,,,,,,,,,0.028
A2AF28,,,110.0,,,,,,,,,0.006
A2AF31,,,,,,,,,,,,9.59
A2AF33,2.79,,81.3,,,,,,,,,5.22
A2AF47,0.35,0.271,22.8,0.129,0.646,,0.036,8.09,0.998,0.381,190.0,1.06
A2AF53,,,23.1,,,,,,,,,0.002
A2AF73,0.05,,,,,,,,,,,0.009
A2AFE9,,,,,,,,,,,,0.017
A2AFH1,,,,,,,,,,,,0.011
A2AFI6,0.032,,,,,,,,,,,0.191
A2AFK4,,,5.27,,,,,,0.071,0.018,,0.328
A2AFR3,0.494,,7.89,,,,,,,,,0.193
A2AFS9,,,,,,,,,,,,0.0006
A2AG06,,,,,,,,,,,,0.015
A2AG10,,,,,,,,,,,,1.22
A2AG50,648.0,,84.3,8.88,,,,,,0.649,,5.39
A2AG58,,,4.62,,,,,,0.02,,,1.94
A2AGA4,,,,,,,,,,,,0.01
A2AGB2,,,,,0.128,,,3.65,,,,0.017
A2AGD7,,,,,,,,,,,,0.015
A2AGH6,0.032,0.054,8.48,,0.019,0.385,0.028,1.36,0.114,0.122,28.0,0.798
A2AGL3,7.53,0.048,0.624,,29.8,,0.009,0.014,,,,0.05
A2AGT5,189.0,25.9,129.0,6.88,57.3,4.9,1.3,213.0,11.3,137.0,222.0,18.0
A2AGW5,0.014,,,,,,,,,,,0.003
A2AGW7,0.014,,,,,,,,,,,0.0003
A2AGW8,0.014,,,,,,,,,,,0.008
A2AGX3,,,,,,,,,,,,0.017
A2AH22,0.02,,9.42,,,,,,,,,0.345
A2AHC3,43.6,,36.8,,1.5,,,,0.567,,0.99,0.862
